match_id,score_gap,xp_gap,gold_adv,dmg_diff,heal_diff,kda_diff,wards_diff
4971396775,13,61750.35,62388.11000000001,14281,1628,32,1.0
4973034496,12,59306.575000000004,101814.09642857143,52636,-1265,32,0.0
4969351370,22,149854.59642857144,191043.21071428573,35237,767,37,0.0
4969823336,-1,-40662.11470588235,-41580.891176470584,-16004,1928,-8,0.0
4971535610,-16,-169450.10769230768,-210171.6923076923,41772,-11498,-8,-1.0
4980637380,-7,-191334.36428571428,-45204.47142857143,-8453,3683,-14,0.0
4967877032,-4,-5465.525531914891,282377.2127659574,-45409,3937,-10,-1.0
4977207666,-3,21960.962790697675,-34659.96744186046,-3624,8903,1,0.0
4969840552,-15,-87564.34418604651,-34595.58372093023,-10568,-9922,-9,0.0
4968350012,-21,-45589.824,-76247.97600000001,-6180,-4274,-26,1.0
4973348952,4,-57048.82105263158,-15982.56315789474,20745,8301,6,0.0
4969485474,5,-38593.340000000004,73466.88999999998,-9974,-10739,0,-1.0
4971609890,33,386083.4621621622,250638.60270270266,54682,5459,59,0.0
4969185930,19,163537.559375,259854.97187500002,26115,6542,34,0.0
4973241356,25,216059.08461538464,235087.36153846153,1594,9441,23,1.0
4986362254,-25,-106290.09565217393,-135301.5,-26766,-2273,-37,-3.0
4968150000,12,141626.6548780488,198678.63170731708,-1605,-1421,9,-1.0
4985705053,-20,-431144.101923077,-329991.6019230769,-21973,2557,-23,-2.0
4969496405,-16,-87974.88064516129,-168026.54516129033,-29019,-3014,-41,-1.0
4967600837,-18,-418668.4528301887,-453956.8679245283,-39113,2996,-23,0.0
4969405346,-16,-329889.4076923077,-159205.3384615385,-36992,-1070,-32,-2.0
4967821629,27,400211.19230769237,309824.6923076923,20462,790,56,1.0
4971562774,-14,-19596.18928571429,-49159.31785714286,-9562,-2570,-23,-2.0
4973234250,-1,-48809.86666666667,38909.499999999985,-536,9133,-3,-1.0
4969565764,-11,-292160.0625,-286361.00625,-14206,-2644,-41,-1.0
4970923784,0,107402.10677966102,127194.45254237289,10238,11418,8,1.0
4969584026,-19,-237201.87272727274,-183643.22727272726,-11603,-6053,-38,0.0
4977344912,9,95092.515,-9553.627500000002,-3016,16362,16,1.0
4969247132,22,-31407.9,61929.26571428571,2541,10957,27,0.0
4971405416,-21,-138621.43125,-92973.428125,-28309,3208,-62,0.0
4971293020,16,178947.90714285715,217145.54285714283,61245,-7974,26,1.0
4971219223,12,33801.5,65280.368965517235,20083,1110,17,2.0
4976922218,10,80381.87368421053,289513.2789473684,16172,-16182,6,-1.0
4971752684,-19,-315894.1921052632,-186498.0552631579,-22714,202,-27,-3.0
4967744940,11,141055.34,101027.70999999999,40564,1438,31,2.0
4968324806,31,423507.85,72266.91249999999,50004,-2586,66,0.0
